1	1	1	OK	0.0000e+00 (0x0p+0)	0
2	2	2	OK	0.0000e+00 (0x0p+0)	0
4	4	4	OK	0.0000e+00 (0x0p+0)	0
8	8	8	OK	2.0973e-16 (0x1.e39910ebaa2ap-53)	1
16	16	16	OK	0.0000e+00 (0x0p+0)	0
32	32	32	OK	1.8826e-16 (0x1.b21b60d11f508p-53)	1
64	64	64	OK	1.6446e-16 (0x1.7b356968c023p-53)	1
128	128	128	OK	1.8020e-16 (0x1.9f8586682c90ep-53)	1
256	256	256	OK	1.3911e-16 (0x1.40c5e954d13bap-53)	1
512	512	512	OK	0.0000e+00 (0x0p+0)	0
1024	1024	1024	OK	1.2987e-16 (0x1.2b782e1ba663dp-53)	1
2048	2048	2048	OK	2.1041e-16 (0x1.e52c5292ad4c2p-53)	1
4096	4096	4096	OK	0.0000e+00 (0x0p+0)	0
8192	8192	8192	OK	0.0000e+00 (0x0p+0)	0
16384	16384	16384	OK	1.7106e-16 (0x1.8a7143a50cd09p-53)	1
32768	32768	32768	OK	0.0000e+00 (0x0p+0)	0
65536	65536	65536	OK	1.4829e-16 (0x1.55ee5c8c59432p-53)	1
131072	131072	131072	OK	1.8594e-16 (0x1.acc0a0e2115bcp-53)	1
262144	262144	262144	OK	0.0000e+00 (0x0p+0)	0
524288	524288	524288	OK	2.8282e-16 (0x1.46123feff4074p-52)	1
1048576	1048576	1048576	OK	0.0000e+00 (0x0p+0)	0
2097152	2097152	2097152	OK	1.3117e-16 (0x1.2e73060f66cb1p-53)	1
