1	1	1	OK	0.0000e+00 (0x0p+0)	0
2	2	2	OK	1.9498e-16 (0x1.c196e8c3da72ep-53)	1
4	4	4	OK	0.0000e+00 (0x0p+0)	0
8	8	8	OK	2.0973e-16 (0x1.e39910ebaa2ap-53)	1
16	16	16	OK	1.1471e-16 (0x1.0883861e7060fp-53)	1
32	32	32	OK	1.8826e-16 (0x1.b21b60d11f508p-53)	1
64	64	64	OK	1.6446e-16 (0x1.7b356968c023p-53)	1
128	128	128	OK	0.0000e+00 (0x0p+0)	0
256	256	256	OK	2.7823e-16 (0x1.40c5e954d13bap-52)	1
512	512	512	OK	1.6621e-16 (0x1.7f41415884832p-53)	1
1024	1024	1024	OK	0.0000e+00 (0x0p+0)	0
2048	2048	2048	OK	2.1041e-16 (0x1.e52c5292ad4c2p-53)	1
4096	4096	4096	OK	3.5001e-16 (0x1.9389cfb6d5a7p-52)	1
8192	8192	8192	OK	2.1286e-16 (0x1.ead0c3287fa83p-53)	1
16384	16384	16384	OK	0.0000e+00 (0x0p+0)	0
32768	32768	32768	OK	0.0000e+00 (0x0p+0)	0
65536	65536	65536	OK	2.9658e-16 (0x1.55ee5c8c59432p-52)	1
131072	131072	131072	OK	9.2971e-16 (0x1.0bf8648d4ad96p-50)	1
262144	262144	262144	OK	5.4103e-16 (0x1.37e1b69769c4ep-51)	1
524288	524288	524288	OK	1.4141e-16 (0x1.46123feff4074p-53)	1
1048576	1048576	1048576	OK	4.0039e-16 (0x1.cd9e6857fab4dp-52)	1
2097152	2097152	2097152	OK	1.3117e-16 (0x1.2e73060f66cb1p-53)	1
