1	1	1	OK (tol=1e-12)
14	14	14	OK (tol=1e-12)
27	27	27	OK (tol=1e-12)
40	40	40	OK (tol=1e-12)
53	53	53	OK (tol=1e-12)
66	66	66	NG	1.2684e-12	3659
79	79	79	NG	1.8816e-11	5298
92	92	92	NG	1.6280e-12	7203
105	105	105	NG	4.5474e-12	9469
118	118	118	OK (tol=1e-12)
131	131	131	NG	1.7481e-12	14735
144	144	144	NG	9.3475e-12	17807
157	157	157	NG	3.4322e-12	21079
170	170	170	NG	4.8448e-11	24739
183	183	183	NG	2.9075e-12	28763
196	196	196	NG	3.1854e-12	32990
209	209	209	NG	4.9706e-12	37465
222	222	222	NG	4.6915e-12	42335
235	235	235	NG	9.7957e-12	47363
248	248	248	NG	1.0830e-11	52837
