1	1	1	OK (tol=1e-12)
14	14	14	OK (tol=1e-12)
27	27	27	OK (tol=1e-12)
40	40	40	OK (tol=1e-12)
53	53	53	OK (tol=1e-12)
66	66	66	OK (tol=1e-12)
79	79	79	NG	1.0052e-12	5366
92	92	92	NG	1.5593e-12	7272
105	105	105	NG	3.2063e-12	9460
118	118	118	NG	1.6047e-12	11937
131	131	131	NG	1.2917e-11	14641
144	144	144	NG	4.1036e-12	17809
157	157	157	NG	5.0002e-12	21091
170	170	170	NG	3.9055e-11	24795
183	183	183	NG	1.5685e-11	28794
196	196	196	NG	4.5747e-12	32914
209	209	209	NG	3.6605e-11	37410
222	222	222	NG	2.3966e-11	42520
235	235	235	NG	7.7097e-12	47273
248	248	248	NG	3.2438e-10	52714
