1	1	1	OK	1.2167e-34 (0x1.43740b7801096p-113)	1
2	2	2	OK	0.0000e+00 (0x0p+0)	0
4	4	4	OK	1.4467e-34 (0x1.8096f4ea40fc5p-113)	1
8	8	8	OK	0.0000e+00 (0x0p+0)	0
16	16	16	OK	9.9499e-35 (0x1.0883861e7061p-113)	1
32	32	32	OK	1.6329e-34 (0x1.b21b60d11f508p-113)	1
64	64	64	OK	0.0000e+00 (0x0p+0)	0
128	128	128	OK	0.0000e+00 (0x0p+0)	0
256	256	256	OK	0.0000e+00 (0x0p+0)	0
512	512	512	OK	1.4416e-34 (0x1.7f41415884833p-113)	1
1024	1024	1024	OK	0.0000e+00 (0x0p+0)	0
2048	2048	2048	OK	1.8250e-34 (0x1.e52c5292ad4c3p-113)	1
4096	4096	4096	OK	0.0000e+00 (0x0p+0)	0
8192	8192	8192	OK	1.8462e-34 (0x1.ead0c3287fa84p-113)	1
16384	16384	16384	OK	1.4837e-34 (0x1.8a7143a50cd0ap-113)	1
32768	32768	32768	OK	4.4990e-34 (0x1.2b02c7cc012abp-111)	1
65536	65536	65536	OK	1.2862e-34 (0x1.55ee5c8c59432p-113)	1
131072	131072	131072	OK	1.6128e-34 (0x1.acc0a0e2115bdp-113)	1
262144	262144	262144	OK	0.0000e+00 (0x0p+0)	0
524288	524288	524288	OK	0.0000e+00 (0x0p+0)	0
1048576	1048576	1048576	OK	5.2093e-34 (0x1.5a36ce41fc07ap-111)	1
2097152	2097152	2097152	OK	1.1377e-34 (0x1.2e73060f66cb2p-113)	1
