1	1	1	OK	1.2167e-34 (0x1.43740b7801096p-113)	1
2	2	2	OK	1.6912e-34 (0x1.c196e8c3da72ep-113)	1
4	4	4	OK	1.4467e-34 (0x1.8096f4ea40fc5p-113)	1
8	8	8	OK	1.8191e-34 (0x1.e39910ebaa2ap-113)	1
16	16	16	OK	1.9900e-34 (0x1.0883861e7061p-112)	1
32	32	32	OK	0.0000e+00 (0x0p+0)	0
64	64	64	OK	0.0000e+00 (0x0p+0)	0
128	128	128	OK	0.0000e+00 (0x0p+0)	0
256	256	256	OK	1.2066e-34 (0x1.40c5e954d13bap-113)	1
512	512	512	OK	4.3249e-34 (0x1.1f70f10263626p-111)	1
1024	1024	1024	OK	1.1265e-34 (0x1.2b782e1ba663ep-113)	1
2048	2048	2048	OK	3.6500e-34 (0x1.e52c5292ad4c3p-112)	1
4096	4096	4096	OK	1.5179e-34 (0x1.9389cfb6d5a71p-113)	1
8192	8192	8192	OK	0.0000e+00 (0x0p+0)	0
16384	16384	16384	OK	5.9349e-34 (0x1.8a7143a50cd0ap-111)	1
32768	32768	32768	OK	2.9993e-34 (0x1.8eae5fbaac38fp-112)	1
65536	65536	65536	OK	1.2862e-34 (0x1.55ee5c8c59432p-113)	1
OzBLAS error: infSplit is failed.
OzBLAS error: infSplit is failed.
131072	131072	131072	OK	3.2256e-34 (0x1.acc0a0e2115bdp-112)	1
OzBLAS error: infSplit is failed.
OzBLAS error: infSplit is failed.
262144	262144	262144	OK	1.1732e-34 (0x1.37e1b69769c4ep-113)	1
OzBLAS error: infSplit is failed.
OzBLAS error: infSplit is failed.
524288	524288	524288	NG	1.5073e-28 (0x1.7e272d997d7d3p-93)	1
OzBLAS error: infSplit is failed.
OzBLAS error: infSplit is failed.
1048576	1048576	1048576	NG	6.5351e-27 (0x1.02e235c801d58p-87)	1
OzBLAS error: infSplit is failed.
OzBLAS error: infSplit is failed.
2097152	2097152	2097152	NG	7.0309e-19 (0x1.9f0871d4bca9ap-61)	1
