### Warning: when m=n=k=1, it is computed as DOT, which ignores fastmode and batchedGemm.
1	1	1	OK (tol=1e-14)
14	14	14	NG	5.8698e-14	145
27	27	27	NG	2.2492e-14	452
40	40	40	OK (tol=1e-14)
53	53	53	NG	2.0947e-13	1703
66	66	66	NG	1.5043e-12	3716
79	79	79	NG	8.2340e-13	5307
92	92	92	NG	2.3818e-12	7283
105	105	105	NG	1.9835e-12	9445
118	118	118	NG	8.3503e-12	11934
131	131	131	NG	2.7012e-11	14818
144	144	144	NG	4.4217e-12	17789
157	157	157	NG	2.5168e-12	21159
170	170	170	NG	1.2424e-11	24680
183	183	183	NG	2.5902e-11	28682
196	196	196	NG	3.5284e-11	33009
209	209	209	NG	5.2043e-12	37511
222	222	222	NG	9.2134e-12	42366
235	235	235	NG	6.5176e-12	47412
248	248	248	NG	4.0470e-12	52749
