### Warning: when m=n=k=1, it is computed as DOT, which ignores fastmode and batchedGemm.
1	1	1	OK (tol=1e-14)
14	14	14	NG	2.9521e-13	152
27	27	27	OK (tol=1e-14)
40	40	40	NG	1.0226e-14	1003
53	53	53	NG	1.9012e-13	1697
66	66	66	NG	9.9116e-13	3675
79	79	79	NG	6.4768e-13	5283
92	92	92	NG	9.0643e-13	7191
105	105	105	NG	1.6048e-12	9352
118	118	118	NG	9.5568e-13	11841
131	131	131	NG	2.5811e-11	14678
144	144	144	NG	1.7548e-11	17788
157	157	157	NG	1.8300e-11	21172
170	170	170	NG	3.3404e-12	24835
183	183	183	NG	5.3502e-12	28814
196	196	196	NG	8.6475e-12	33021
209	209	209	NG	5.6521e-11	37460
222	222	222	NG	8.7203e-12	42339
235	235	235	NG	9.5483e-12	47396
248	248	248	NG	1.9267e-10	52884
