1	1	1	OK (tol=1e-14)
14	14	14	OK (tol=1e-14)
27	27	27	OK (tol=1e-14)
40	40	40	OK (tol=1e-14)
53	53	53	OK (tol=1e-14)
66	66	66	OK (tol=1e-14)
79	79	79	NG	1.2839e-14	58
92	92	92	NG	2.7751e-14	68
105	105	105	NG	1.3215e-13	93
118	118	118	NG	3.0404e-14	107
131	131	131	NG	1.9557e-14	105
144	144	144	NG	3.7859e-13	113
157	157	157	NG	1.8058e-14	131
170	170	170	NG	1.4627e-14	133
183	183	183	NG	5.6684e-14	151
196	196	196	NG	2.5823e-13	162
209	209	209	NG	4.3042e-14	182
222	222	222	NG	2.0942e-13	193
235	235	235	NG	8.8978e-14	197
248	248	248	NG	1.3297e-13	207
