1	1	1	OK (tol=1e-14)
14	14	14	NG	4.5940e-14	146
27	27	27	OK (tol=1e-14)
40	40	40	OK (tol=1e-14)
53	53	53	OK (tol=1e-14)
66	66	66	NG	4.3863e-13	3708
79	79	79	NG	3.3160e-12	5330
92	92	92	NG	1.1251e-11	7250
105	105	105	NG	5.4475e-12	9416
118	118	118	NG	1.4474e-11	11909
131	131	131	NG	1.3458e-10	14659
144	144	144	NG	6.2845e-13	17705
157	157	157	NG	6.8236e-12	21112
170	170	170	NG	2.3882e-12	24698
183	183	183	NG	4.2487e-12	28659
196	196	196	NG	1.1152e-10	32810
209	209	209	NG	2.4079e-12	37383
222	222	222	NG	4.4876e-12	42305
235	235	235	NG	1.5130e-11	47333
248	248	248	NG	3.6944e-12	52701
